nome,telefone,validacao_ddi_e_ddd
A C DE FARIA FROTA,+55 (98) 8878-1818,Sim — DDI 55 (Brasil) e DDD 98 identificados no número.
AFETO NATURAL COMERCIO DE COSMETICOS LTDA,+55 (12) 9810-2097,Sim — DDI 55 (Brasil) e DDD 12 identificados no número.
AGILSE COSMETICOS INDUSTRIA E COMERCIO LTDA,+55 (19) 3859-2627,Sim — DDI 55 (Brasil) e DDD 19 identificados no número.
AROMA FENIX COMERCIO DE PRODUTOS NATURAIS LTDA,+55 (11) 9252-3592,Sim — DDI 55 (Brasil) e DDD 11 identificados no número.
BIONAT INDUSTRIA E COMERCIO DE COSMETICOS LTDA,+55 (11) 4611-4055,Sim — DDI 55 (Brasil) e DDD 11 identificados no número.
BLACK OUT COSMETICOS E SERVICOS LTDA,,Não — sem telefone; DDI/DDD não aplicáveis.
CEUCI RITUAIS DE CUIDADO LTDA,,Não — sem telefone; DDI/DDD não aplicáveis.
COCCUS INDUSTRIA E COMERCIO LTDA,+55 (27) 3535-1327,Sim — DDI 55 (Brasil) e DDD 27 identificados no número.
CONFECCOES SCUDELER LTDA,+55 (15) 3288-4100,Sim — DDI 55 (Brasil) e DDD 15 identificados no número.
CORDEIRO CABOS ELETRICOS S.A.,,Não — sem telefone; DDI/DDD não aplicáveis.
ELEMENTAL AMAZONIA PRODUTOS NATURAIS LTDA,+55 (94) 9305-2489,Sim — DDI 55 (Brasil) e DDD 94 identificados no número.
ESPIRITO DO CHA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,+55 (21) 7123-3597,Sim — DDI 55 (Brasil) e DDD 21 identificados no número.
FROSEIM PROFESSIONAL,+55 (61) 98619-5790,Sim — DDI 55 (Brasil) e DDD 61 identificados no número.
GENEVY INDUSTRIA E COMERCIO DE CHOCOLATES LTDA,+55 (11) 7152-9674,Sim — DDI 55 (Brasil) e DDD 11 identificados no número.
INDUSTRIAS GRANFINO S/A,+55 (21) 2765-9400,Sim — DDI 55 (Brasil) e DDD 21 identificados no número.
INFA INSTITUTO FARMACEUTICO PERFECT LTDA,+55 (81) 3542-2001,Sim — DDI 55 (Brasil) e DDD 81 identificados no número.
IRMAOS CARNEIRO LTDA,,Não — sem telefone; DDI/DDD não aplicáveis.
NATUREZA RAIZ COSMETICOS NATURAIS E VEGANOS LTDA,+55 (65) 9994-3226,Sim — DDI 55 (Brasil) e DDD 65 identificados no número.
NECTAR FARMACEUTICA LTDA,,Não — sem telefone; DDI/DDD não aplicáveis.
O P DA SILVA LTDA,+55 (88) 3442-1005,Sim — DDI 55 (Brasil) e DDD 88 identificados no número.
PETISCO NATURAL PET FOOD LTDA,+55 (13) 3822-4311,Sim — DDI 55 (Brasil) e DDD 13 identificados no número.
RASMUSSEN PROFESSIONAL LTDA,+55 (62) 8123-9328,Sim — DDI 55 (Brasil) e DDD 62 identificados no número.
S COSMETICOS DO BEM INDUSTRIA E COMERCIO LTDA,+55 (19) 9111-0339,Sim — DDI 55 (Brasil) e DDD 19 identificados no número.
SHU DOG LTDA,+55 (83) 9935-0001,Sim — DDI 55 (Brasil) e DDD 83 identificados no número.
THERMOLIFE ALIMENTOS ESPECIAIS LTDA,,Não — sem telefone; DDI/DDD não aplicáveis.
VIA SOL MODA PRAIA INDUSTRIA DE CONFECCOES LTDA,+55 (85) 3217-1749,Sim — DDI 55 (Brasil) e DDD 85 identificados no número.
VITTA FRESH INDUSTRIA E COMERCIO DE BEBIDAS LTDA,+55 (12) 8118-0063,Sim — DDI 55 (Brasil) e DDD 12 identificados no número.
NATALIA FEKSA JONAS,+55 (51) 9920-9349,Sim — DDI 55 (Brasil) e DDD 51 identificados no número.
RUBERCI JOSE PINON,+55 (94) 9162-5797,Sim — DDI 55 (Brasil) e DDD 94 identificados no número.
JESSICA CAROLINA TORRES BRACHO,,Não — sem telefone; DDI/DDD não aplicáveis.
